
エレメンタルナイト
ブラックソーサー(攻撃), 回転発射 EFFECT_B-Cut.bmp 32 Swing.wav
ブラックソーサー(命中), 斬撃
ブラックブレード(攻撃), 回転発射 EFFECT_B-Cut.bmp 32 Saber.wav 速
ブラックブレード(命中), 斬撃
ダークブラスト(準備), 五芒星 ブラック Whiz.wav
ダークブラスト(攻撃), ＭＡＰ重力弾 Crash.wav
ダークフィールド(準備), 五芒星 ブラック Whiz.wav
ダークフィールド(攻撃), ＭＡＰブラックホール Doukoku.wav
カオスブラスター, 小ビーム ブラック
ブラッディファング(準備), 粒子集中 黒
ブラッディファング(攻撃), 実弾発射 Effect_B-Fang.bmp 32 AntiAirMissile.wav 速
ブラッディファング(命中), 噛み付き Stab.wav;1;Stab.wav
フォースソード(準備), 振る武器 EFFECT_4thSword.bmp 48 ChakiA@11.wav
フォースソード(攻撃), 斬撃 BoomA@22.wav
フォースソード(命中), 炎斬撃 Saber.wav イエロー
ツインフォースソード(準備), 振る武器 EFFECT_4thSword.bmp 48 ChakiA@11.wav 二刀流
ツインフォースソード(攻撃), 斬撃 BoomA@22.wav 二刀流
ツインフォースソード(命中), SwordB@22.wav;10;ZAN.bmp 480 480 透過
オメガブラスターキャノン(準備), 射撃武器 EFFECT_O-B-Cannon.bmp 64 MetalC@11.wav
オメガブラスターキャノン(攻撃), バスタービームライフル EFFECT_O-B-Cannon.bmp 64 イエロー Explode(nuclear).wav
オメガブラスターキャノン(命中), バスタービームライフル イエロー Explode(nuclear).wav
フォースランチャー(準備), 射撃武器 EFFECT_F-Launcher.bmp 64 MetalC@11.wav
フォースランチャー(攻撃), ビームランチャー EFFECT_F-Launcher.bmp 64 イエロー Beam.wav
フォースランチャー(命中), ビームランチャー イエロー Beam.wav
四星桜花流・閃駈連刃(準備), サクラチル
四星桜花流・閃駈連刃(攻撃), 閃駈連刃
四星桜花流・閃駈連刃(命中), 閃駈連刃
四星桜花流・暗黒閃(準備), サクラチル;5;振る武器 EFFECT_4thSword.bmp 48 ChakiA@11.wav 二刀流
四星桜花流・暗黒閃(攻撃), 小ビーム ブラック Thunder.wav
四星桜花流・暗黒閃(命中), 暗黒閃
四星桜花流・黒破無段切り(準備), サクラチル;5;振る武器 EFFECT_4thSword.bmp 48 ChakiA@11.wav 二刀流
四星桜花流・黒破無段切り(攻撃), 黒破無段
四星桜花流・黒破無段切り(命中), 黒破無段
フォースエッジ(準備), 振る武器 Effect_4thEdge.bmp ChakiA@11.wav
フォースエッジ(攻撃), 連突  BoomA@22.wav
フォースエッジ(命中), フォースエッジ
スピードスター(準備), 振る武器 Effect_4thEdge.bmp ChakiA@11.wav
スピードスター(攻撃), 乱突 MachineCannon.wav
スピードスター(命中), スピードスター
ヘヴィークラッシュ(準備), 振る武器 EFFECT_MetalSword.bmp 32
ヘヴィークラッシュ(攻撃), 白兵武器 whiz.wav
ヘヴィークラッシュ(命中), 唐竹割り crash.wav
グランドランサー(準備), グランドランサー
グランドランサー(攻撃), グランドランサー
エーテルセーバー, ビームサーベル イエロー
スマートソード, ショートソード
ヘヴィブレード, ソード
